,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2012-06-14,3.799,3.3733,2.8169,3.8746,3.223,2.297,1.9759,3.107
2012-06-15,3.797,3.3722,2.8083,3.8729,3.222,2.296,1.9741,3.104
2012-06-18,3.801,3.3762,2.8115,3.8805,3.229,2.299,1.9764,3.107
2012-06-19,3.796,3.3684,2.8046,3.8729,3.224,2.292,1.9738,3.101
2012-06-20,3.796,3.3645,2.7997,3.8693,3.223,2.288,1.9717,3.096
2012-06-21,3.787,3.3553,2.7972,3.8591,3.215,2.276,1.9678,3.087
2012-06-25,3.771,3.3404,2.7848,3.8461,3.2,2.259,1.9598,3.071
2012-06-26,3.769,3.3409,2.7877,3.8449,3.202,2.262,1.96,3.07
2012-06-27,3.771,3.3402,2.79,3.843,3.205,2.267,1.9599,3.071
2012-06-28,3.764,3.3366,2.7877,3.8343,3.199,2.263,1.9575,3.066
2012-06-29,3.772,3.3453,2.7935,3.845,3.209,2.278,1.9638,3.073
2012-07-02,3.778,3.3477,2.7979,3.8495,3.212,2.282,1.968,3.077
2012-07-03,3.782,3.35,2.8012,3.8537,3.219,2.285,1.9688,3.074
2012-07-04,3.776,3.3468,2.795,3.8516,3.219,2.28,1.968,3.067
2012-07-05,3.768,3.3392,2.7955,3.8422,3.211,2.277,1.9624,3.057
2012-07-06,3.783,3.3547,2.8081,3.8567,3.222,2.294,1.9708,3.071
2012-07-09,3.777,3.3435,2.8017,3.8419,3.213,2.287,1.9675,3.058
2012-07-10,3.77,3.3385,2.7951,3.8355,3.206,2.282,1.963,3.053
2012-07-11,3.777,3.3459,2.8027,3.8417,3.21,2.286,1.9666,3.059
2012-07-12,3.786,3.3533,2.8126,3.8479,3.216,2.292,1.9715,3.065
2012-07-13,3.791,3.355,2.8118,3.8513,3.215,2.297,1.972,3.066
2012-07-16,3.77,3.3409,2.7999,3.8303,3.201,2.278,1.9634,3.043
2012-07-17,3.772,3.3421,2.7994,3.8282,3.201,2.28,1.9628,3.046
2012-07-18,3.77,3.3385,2.7936,3.8251,3.199,2.272,1.9621,3.048
2012-07-19,3.778,3.3419,2.7963,3.829,3.203,2.277,1.9645,3.051
2012-07-20,3.771,3.3358,2.7937,3.8208,3.197,2.274,1.9616,3.045
2012-07-23,3.764,3.3283,2.7877,3.8117,3.191,2.266,1.9567,3.036
2012-07-24,3.768,3.3329,2.7895,3.8187,3.196,2.271,1.9586,3.041
2012-07-25,3.763,3.3297,2.7865,3.8163,3.19,2.266,1.9557,3.041
2012-07-26,3.762,3.3251,2.7807,3.8109,3.184,2.26,1.9533,3.038
2012-07-27,3.759,3.3211,2.7752,3.8094,3.184,2.253,1.9514,3.032
2012-07-30,3.751,3.3188,2.7727,3.8084,3.18,2.246,1.9491,3.025
2012-07-31,3.747,3.3165,2.7763,3.806,3.174,2.25,1.9476,3.017
2012-08-01,3.757,3.3241,2.7813,3.8127,3.179,2.256,1.9515,3.026
2012-08-02,3.757,3.3165,2.7735,3.8055,3.172,2.248,1.9468,3.02
2012-08-03,3.767,3.3236,2.7787,3.8099,3.178,2.254,1.9504,3.031
2012-08-06,3.778,3.3347,2.7858,3.8201,3.187,2.263,1.9555,3.045
2012-08-07,3.783,3.3348,2.7865,3.8226,3.189,2.264,1.9551,3.048
2012-08-08,3.779,3.3337,2.7837,3.8218,3.187,2.262,1.9534,3.046
2012-08-09,3.788,3.3425,2.7914,3.8295,3.195,2.274,1.9584,3.055
2012-08-10,3.789,3.3378,2.7888,3.8261,3.191,2.269,1.956,3.053
2012-08-13,3.777,3.3245,2.7796,3.8152,3.18,2.254,1.948,3.037
2012-08-14,3.775,3.3242,2.7789,3.8166,3.183,2.25,1.9492,3.037
2012-08-15,3.771,3.3206,2.7753,3.8111,3.18,2.246,1.9469,3.028
2012-08-16,3.766,3.3165,2.772,3.8035,3.176,2.241,1.944,3.021
2012-08-17,3.766,3.3116,2.7692,3.7989,3.173,2.237,1.9414,3.019
2012-08-20,3.766,3.3103,2.7671,3.7992,3.173,2.236,1.9413,3.02
2012-08-21,3.775,3.3149,2.7706,3.8033,3.179,2.239,1.9445,3.028
2012-08-22,3.772,3.3101,2.7658,3.7973,3.175,2.233,1.9423,3.023
2012-08-23,3.774,3.3104,2.7672,3.7957,3.175,2.233,1.9422,3.024
2012-08-24,3.764,3.3062,2.7633,3.7912,3.17,2.227,1.9375,3.017
2012-08-27,3.75,3.2974,2.7573,3.7834,3.164,2.216,1.9313,2.998
2012-08-28,3.753,3.2958,2.7561,3.7834,3.164,2.214,1.9318,2.996
2012-08-29,3.752,3.2904,2.7558,3.7781,3.161,2.212,1.931,2.993
2012-08-30,3.746,3.2842,2.7526,3.7725,3.154,2.209,1.926,2.987
2012-08-31,3.746,3.2851,2.7536,3.7721,3.156,2.209,1.9274,2.99
2012-09-03,3.757,3.2969,2.7645,3.7772,3.167,2.22,1.9333,3.003
2012-09-04,3.754,3.2943,2.7593,3.7767,3.163,2.216,1.9315,2.999
2012-09-05,3.756,3.2952,2.7622,3.777,3.165,2.217,1.9311,3.003
2012-09-06,3.762,3.2982,2.7666,3.7801,3.168,2.219,1.9337,3.009
2012-09-07,3.784,3.3189,2.7835,3.8042,3.186,2.241,1.9411,3.036
2012-09-10,3.79,3.3203,2.7832,3.8065,3.189,2.242,1.9423,3.041
2012-09-11,3.787,3.3163,2.7799,3.8038,3.184,2.236,1.9415,3.036
2012-09-12,3.788,3.3176,2.7811,3.8072,3.186,2.236,1.9419,3.04
2012-09-13,3.78,3.3139,2.7751,3.8035,3.182,2.23,1.9381,3.03
2012-09-14,3.779,3.315,2.7747,3.8049,3.182,2.228,1.9386,3.029
2012-09-17,3.764,3.3011,2.7604,3.7915,3.167,2.208,1.9323,3.011
2012-09-18,3.762,3.2992,2.7571,3.7863,3.166,2.207,1.9318,3.008
2012-09-19,3.769,3.2994,2.7595,3.7877,3.167,2.212,1.9326,3.012
2012-09-20,3.754,3.2887,2.7508,3.7767,3.157,2.196,1.9262,2.999
2012-09-21,3.75,3.2893,2.7506,3.7747,3.154,2.192,1.9256,2.999
2012-09-24,3.753,3.296,2.7547,3.7818,3.157,2.199,1.9271,3.007
2012-09-25,3.752,3.2962,2.7544,3.782,3.156,2.199,1.9263,3.006
2012-09-26,3.74,3.2886,2.7494,3.7737,3.146,2.191,1.9217,2.996
2012-09-27,3.756,3.3027,2.7623,3.7891,3.157,2.212,1.9266,3.012
2012-09-28,3.767,3.3119,2.7717,3.801,3.167,2.227,1.9313,3.024
2012-10-08,3.762,3.3061,2.7661,3.7942,3.164,2.221,1.9288,3.022
2012-10-09,3.779,3.3198,2.7788,3.8103,3.175,2.235,1.9344,3.037
2012-10-10,3.784,3.3211,2.7799,3.8101,3.176,2.237,1.9354,3.041
2012-10-11,3.778,3.3146,2.7738,3.8044,3.169,2.229,1.9334,3.034
2012-10-12,3.773,3.3136,2.7718,3.8041,3.168,2.226,1.9322,3.033
2012-10-15,3.768,3.316,2.7721,3.8025,3.168,2.228,1.9339,3.03
2012-10-16,3.772,3.3188,2.7748,3.806,3.171,2.229,1.9355,3.032
2012-10-17,3.773,3.3166,2.7726,3.8066,3.171,2.227,1.9362,3.031
2012-10-18,3.781,3.3245,2.7788,3.8187,3.179,2.238,1.9393,3.044
2012-10-19,3.78,3.3246,2.7782,3.8195,3.18,2.237,1.9393,3.043
2012-10-22,3.787,3.3271,2.7808,3.8239,3.181,2.241,1.9401,3.049
2012-10-23,3.778,3.3172,2.7744,3.8121,3.173,2.229,1.9361,3.04
2012-10-24,3.773,3.316,2.7736,3.8103,3.171,2.226,1.9341,3.036
2012-10-25,3.765,3.3097,2.7694,3.8043,3.168,2.217,1.9333,3.026
2012-10-26,3.761,3.3026,2.7638,3.7972,3.16,2.209,1.9299,3.018
2012-10-29,3.761,3.3016,2.7627,3.7996,3.156,2.209,1.9304,3.018
2012-10-30,3.763,3.3032,2.7645,3.8004,3.159,2.211,1.9299,3.02
2012-10-31,3.769,3.3078,2.7688,3.806,3.165,2.216,1.9302,3.029
2012-11-01,3.778,3.3183,2.7757,3.8152,3.174,2.227,1.9346,3.039
2012-11-02,3.778,3.3193,2.7761,3.8168,3.176,2.229,1.9363,3.04
2012-11-05,3.773,3.3164,2.7746,3.813,3.172,2.225,1.9336,3.037
2012-11-06,3.772,3.3135,2.7722,3.8083,3.167,2.223,1.9323,3.034
2012-11-07,3.77,3.3109,2.7673,3.8051,3.165,2.219,1.9304,3.028
2012-11-08,3.759,3.3023,2.7603,3.7978,3.158,2.21,1.9249,3.012
2012-11-09,3.756,3.2993,2.7581,3.7954,3.157,2.208,1.9244,3.009
2012-11-12,3.757,3.2982,2.7591,3.7921,3.158,2.209,1.9254,3.006
2012-11-13,3.746,3.2915,2.7534,3.7836,3.15,2.2,1.9209,2.997
2012-11-14,3.745,3.2939,2.7544,3.7877,3.151,2.2,1.9217,3
2012-11-15,3.738,3.2895,2.7506,3.7828,3.146,2.195,1.9188,2.994
2012-11-16,3.733,3.2833,2.7488,3.7775,3.143,2.193,1.9177,2.988
2012-11-19,3.736,3.2773,2.7474,3.7741,3.142,2.192,1.9165,2.986
2012-11-20,3.734,3.2762,2.7462,3.7738,3.14,2.19,1.9154,2.984
2012-11-21,3.74,3.28,2.7496,3.7774,3.144,2.197,1.9167,2.99
2012-11-22,3.734,3.2743,2.7467,3.7731,3.135,2.193,1.9133,2.985
2012-11-23,3.734,3.2781,2.7512,3.7769,3.14,2.196,1.9151,2.989
2012-11-26,3.725,3.2717,2.7498,3.7707,3.135,2.19,1.9139,2.982
2012-11-27,3.703,3.2656,2.7431,3.7639,3.126,2.182,1.9105,2.968
2012-11-28,3.694,3.2598,2.7349,3.7603,3.119,2.174,1.9068,2.961
2012-11-29,3.689,3.2571,2.7326,3.7598,3.12,2.172,1.9054,2.959
2012-11-30,3.696,3.2628,2.7364,3.764,3.128,2.181,1.9078,2.965
2012-12-03,3.691,3.2518,2.7326,3.757,3.119,2.178,1.9057,2.953
2012-12-04,3.696,3.2559,2.7357,3.7601,3.124,2.183,1.9071,2.958
2012-12-05,3.718,3.2702,2.7497,3.7791,3.138,2.202,1.9117,2.977
2012-12-06,3.713,3.2693,2.7512,3.7776,3.138,2.2,1.9125,2.979
2012-12-07,3.724,3.2762,2.7604,3.7876,3.144,2.208,1.915,2.992
2012-12-10,3.729,3.2814,2.7646,3.7911,3.149,2.214,1.9168,3
2012-12-11,3.722,3.2788,2.7608,3.7913,3.147,2.211,1.9152,2.998
2012-12-12,3.724,3.2804,2.7626,3.7939,3.145,2.213,1.9157,2.998
2012-12-13,3.718,3.2771,2.7607,3.7874,3.138,2.209,1.9137,2.992
2012-12-14,3.74,3.2975,2.7816,3.8134,3.156,2.241,1.9225,3.017
2012-12-17,3.735,3.297,2.7793,3.814,3.157,2.239,1.9216,3.013
2012-12-18,3.732,3.2951,2.7764,3.8136,3.152,2.237,1.9211,3.009
2012-12-19,3.733,3.2968,2.7766,3.8209,3.153,2.238,1.9214,3.01
2012-12-20,3.736,3.2998,2.7786,3.8204,3.155,2.241,1.9224,3.01
2012-12-21,3.742,3.2984,2.777,3.8223,3.155,2.238,1.9232,3.01
2012-12-24,3.754,3.2988,2.7828,3.823,3.159,2.241,1.9234,3.017
2012-12-25,3.774,3.3126,2.8005,3.8402,3.174,2.262,1.9308,3.035
2012-12-26,3.781,3.317,2.8044,3.8455,3.18,2.264,1.9332,3.045
2012-12-27,3.778,3.3145,2.8029,3.8403,3.178,2.257,1.932,3.04
2012-12-28,3.786,3.3204,2.8123,3.8499,3.185,2.269,1.9368,3.051
2012-12-31,3.799,3.3321,2.8222,3.8574,3.194,2.283,1.9397,3.064
2013-01-04,3.785,3.3321,2.8143,3.8514,3.192,2.286,1.9381,3.059
2013-01-07,3.784,3.3328,2.8167,3.8614,3.194,2.289,1.9385,3.062
2013-01-08,3.791,3.3322,2.8188,3.8623,3.193,2.282,1.9399,3.07
2013-01-09,3.795,3.3352,2.8178,3.8662,3.194,2.28,1.9404,3.075
2013-01-10,3.796,3.3367,2.8191,3.8646,3.197,2.281,1.9419,3.077
2013-01-11,3.782,3.3233,2.8117,3.8548,3.187,2.264,1.9355,3.064
2013-01-14,3.809,3.3419,2.8307,3.883,3.209,2.294,1.9442,3.091
2013-01-15,3.826,3.3471,2.8356,3.8887,3.215,2.299,1.9473,3.099
2013-01-16,3.828,3.3417,2.8362,3.8861,3.212,2.289,1.9455,3.1
2013-01-17,3.822,3.3378,2.8325,3.883,3.207,2.283,1.9447,3.092
2013-01-18,3.835,3.3455,2.8448,3.8953,3.218,2.298,1.9497,3.101
2013-01-21,3.845,3.3477,2.8461,3.8969,3.221,2.302,1.9497,3.101
2013-01-22,3.836,3.3437,2.8393,3.8894,3.216,2.296,1.947,3.095
2013-01-23,3.84,3.3435,2.8427,3.8956,3.216,2.301,1.9476,3.095
2013-01-24,3.825,3.335,2.8351,3.884,3.205,2.292,1.9405,3.084
2013-01-25,3.825,3.3323,2.8389,3.8872,3.203,2.291,1.9416,3.082
2013-01-28,3.847,3.3483,2.8552,3.9087,3.222,2.317,1.9487,3.104
2013-01-29,3.851,3.3538,2.859,3.9123,3.226,2.322,1.9533,3.107
2013-01-30,3.848,3.3565,2.8573,3.912,3.225,2.325,1.9546,3.104
2013-01-31,3.84,3.3531,2.8517,3.9075,3.219,2.319,1.9565,3.1
2013-02-01,3.847,3.3668,2.8581,3.9228,3.229,2.335,1.9613,3.116
2013-02-04,3.851,3.3642,2.8495,3.9186,3.227,2.331,1.9601,3.109
2013-02-05,3.856,3.3704,2.8563,3.9312,3.235,2.342,1.9628,3.111
2013-02-06,3.856,3.3717,2.8638,3.934,3.239,2.348,1.9654,3.122
2013-02-07,3.862,3.371,2.8685,3.9351,3.238,2.349,1.9645,3.134
2013-02-08,3.879,3.3749,2.8745,3.943,3.248,2.359,1.9687,3.145
2013-02-18,3.88,3.3703,2.8656,3.9354,3.246,2.352,1.9659,3.137
2013-02-19,3.865,3.358,2.855,3.9143,3.231,2.332,1.9582,3.125
2013-02-20,3.885,3.3644,2.8732,3.9273,3.239,2.344,1.9625,3.14
2013-02-21,3.872,3.3477,2.8531,3.9055,3.223,2.319,1.9546,3.122
2013-02-22,3.87,3.3441,2.8463,3.8962,3.216,2.31,1.9548,3.118
2013-02-25,3.878,3.3491,2.8498,3.9001,3.222,2.312,1.958,3.126
2013-02-26,3.872,3.3429,2.847,3.889,3.215,2.306,1.9543,3.119
2013-02-27,3.865,3.3482,2.8442,3.8925,3.217,2.308,1.9535,3.128
2013-02-28,3.88,3.366,2.8589,3.9156,3.232,2.326,1.9611,3.145
2013-03-01,3.882,3.3676,2.8629,3.9211,3.236,2.332,1.9637,3.152
2013-03-04,3.861,3.3359,2.8365,3.8851,3.211,2.305,1.9528,3.132
2013-03-05,3.881,3.3515,2.8492,3.904,3.226,2.325,1.9614,3.154
2013-03-06,3.895,3.3565,2.8527,3.9153,3.235,2.334,1.9645,3.159
2013-03-07,3.888,3.3492,2.8447,3.9037,3.227,2.32,1.9608,3.146
2013-03-08,3.882,3.3438,2.8385,3.8974,3.22,2.311,1.9577,3.138
2013-03-11,3.88,3.3405,2.8407,3.8948,3.219,2.311,1.9565,3.138
2013-03-12,3.864,3.3324,2.8299,3.8806,3.207,2.297,1.9518,3.129
2013-03-13,3.856,3.3268,2.8238,3.8724,3.2,2.291,1.9509,3.126
2013-03-14,3.859,3.3274,2.8276,3.8758,3.201,2.299,1.9515,3.13
2013-03-15,3.865,3.3274,2.8292,3.8755,3.205,2.301,1.9521,3.133
2013-03-18,3.864,3.3189,2.8267,3.8638,3.2,2.301,1.9471,3.123
2013-03-19,3.862,3.3223,2.8311,3.8633,3.204,2.301,1.9483,3.124
2013-03-20,3.887,3.3401,2.8468,3.8907,3.221,2.325,1.956,3.142
2013-03-21,3.895,3.3416,2.8499,3.8972,3.226,2.334,1.9574,3.15
2013-03-22,3.902,3.3423,2.8511,3.9022,3.229,2.336,1.9585,3.15
2013-03-25,3.905,3.341,2.8495,3.8969,3.228,2.335,1.9578,3.148
2013-03-26,3.899,3.3349,2.8497,3.8962,3.223,2.333,1.9559,3.144
2013-03-27,3.9,3.3362,2.8524,3.8979,3.225,2.339,1.9553,3.148
2013-03-28,3.882,3.3183,2.8394,3.878,3.209,2.315,1.9474,3.126
2013-03-29,3.884,3.3177,2.8396,3.8741,3.209,2.313,1.949,3.125
2013-04-01,3.882,3.3196,2.8397,3.8729,3.211,2.317,1.9499,3.133
2013-04-02,3.864,3.3166,2.831,3.8636,3.203,2.302,1.9456,3.118
2013-04-03,3.852,3.3152,2.8293,3.8604,3.2,2.295,1.9451,3.115
2013-04-08,3.859,3.3129,2.8341,3.8595,3.204,2.304,1.9458,3.117
2013-04-09,3.861,3.3171,2.8402,3.866,3.208,2.307,1.9478,3.119
2013-04-10,3.853,3.3159,2.838,3.8651,3.205,2.301,1.9466,3.115
2013-04-11,3.85,3.317,2.8367,3.871,3.202,2.303,1.9457,3.116
2013-04-12,3.856,3.3139,2.8364,3.8728,3.2,2.301,1.9456,3.112
2013-04-15,3.845,3.3114,2.8336,3.8655,3.192,2.298,1.9428,3.107
2013-04-16,3.849,3.3166,2.8438,3.869,3.195,2.305,1.9462,3.116
2013-04-17,3.866,3.3162,2.8514,3.8773,3.2,2.315,1.9485,3.125
2013-04-18,3.872,3.3186,2.8526,3.8773,3.199,2.314,1.9485,3.128
2013-04-19,3.885,3.3323,2.8583,3.8992,3.211,2.33,1.9548,3.148
2013-04-22,3.897,3.3338,2.859,3.902,3.21,2.326,1.9536,3.157
2013-04-23,3.878,3.3178,2.8487,3.8766,3.194,2.307,1.9464,3.137
2013-04-24,3.896,3.3277,2.8536,3.8929,3.204,2.321,1.9534,3.163
2013-04-25,3.888,3.3218,2.8486,3.8801,3.197,2.306,1.951,3.153
2013-04-26,3.873,3.3195,2.8525,3.8677,3.19,2.298,1.9474,3.146
2013-05-02,3.887,3.3227,2.8563,3.866,3.192,2.31,1.949,3.155
2013-05-03,3.898,3.3323,2.8668,3.8812,3.203,2.322,1.9547,3.172
2013-05-06,3.908,3.3394,2.8694,3.8961,3.211,2.329,1.958,3.185
2013-05-07,3.912,3.3398,2.8714,3.901,3.211,2.328,1.9585,3.181
2013-05-08,3.924,3.3417,2.8735,3.9054,3.215,2.336,1.9601,3.194
2013-05-09,3.929,3.3375,2.8759,3.9091,3.214,2.329,1.9592,3.198
2013-05-10,3.927,3.3422,2.8758,3.9107,3.218,2.328,1.9607,3.192
2013-05-13,3.93,3.341,2.8737,3.9075,3.221,2.323,1.9615,3.193
2013-05-14,3.917,3.3341,2.8724,3.8876,3.211,2.311,1.9565,3.183
2013-05-15,3.93,3.3396,2.879,3.894,3.22,2.32,1.9621,3.205
2013-05-16,3.942,3.3483,2.8783,3.9016,3.228,2.33,1.9641,3.213
2013-05-17,3.964,3.3551,2.883,3.9127,3.236,2.338,1.9732,3.226
2013-05-20,3.968,3.3612,2.8845,3.917,3.243,2.339,1.9781,3.243
2013-05-21,3.977,3.3618,2.8853,3.9188,3.248,2.349,1.9813,3.252
2013-05-22,3.964,3.3604,2.8872,3.9188,3.238,2.339,1.9807,3.243
2013-05-23,3.964,3.354,2.8853,3.9129,3.235,2.336,1.9788,3.242
2013-05-24,3.979,3.3582,2.8959,3.9177,3.242,2.346,1.9856,3.253
2013-05-27,3.988,3.3625,2.9031,3.9195,3.245,2.351,1.9896,3.266
2013-05-28,3.984,3.3695,2.9037,3.9219,3.252,2.349,1.9874,3.259
2013-05-29,3.995,3.3698,2.9061,3.9251,3.254,2.351,1.9919,3.258
2013-05-30,3.996,3.3687,2.9095,3.9296,3.254,2.352,1.9938,3.26
2013-05-31,3.988,3.3638,2.9081,3.9204,3.247,2.338,1.9896,3.256
2013-06-03,3.971,3.3613,2.901,3.9178,3.243,2.329,1.9832,3.244
2013-06-04,3.944,3.3538,2.8928,3.9066,3.232,2.316,1.9786,3.224
2013-06-05,3.951,3.3522,2.8935,3.903,3.234,2.321,1.9795,3.229
2013-06-06,3.937,3.3429,2.8883,3.8936,3.221,2.311,1.9752,3.222
2013-06-07,3.929,3.3343,2.88,3.8805,3.212,2.302,1.971,3.214
2013-06-13,3.916,3.3204,2.8713,3.8598,3.195,2.288,1.9648,3.204
2013-06-14,3.934,3.3263,2.8808,3.8708,3.204,2.302,1.9718,3.225
2013-06-17,3.936,3.3243,2.8881,3.8693,3.204,2.302,1.9715,3.23
2013-06-18,3.938,3.328,2.8893,3.8685,3.208,2.305,1.972,3.232
2013-06-19,3.925,3.3232,2.888,3.8656,3.205,2.299,1.9708,3.225
2013-06-20,3.896,3.3065,2.873,3.8431,3.185,2.278,1.9602,3.193
2013-06-21,3.899,3.3065,2.8792,3.8421,3.182,2.278,1.9587,3.189
2013-06-24,3.857,3.2763,2.8527,3.806,3.15,2.248,1.9404,3.146
2013-06-25,3.857,3.277,2.8494,3.8121,3.148,2.254,1.9424,3.159
2013-06-26,3.877,3.2826,2.86,3.8214,3.156,2.278,1.9527,3.191
2013-06-27,3.866,3.2829,2.8563,3.8168,3.146,2.269,1.9511,3.177
2013-06-28,3.866,3.2915,2.8578,3.8247,3.149,2.269,1.9541,3.176
2013-07-01,3.893,3.2953,2.8724,3.835,3.159,2.29,1.9618,3.207
2013-07-02,3.901,3.2965,2.8852,3.8482,3.164,2.303,1.9678,3.22
2013-07-03,3.907,3.2945,2.8876,3.8452,3.169,2.307,1.9692,3.241
2013-07-04,3.903,3.2977,2.8831,3.8494,3.172,2.304,1.9664,3.237
2013-07-05,3.892,3.2987,2.8799,3.8526,3.169,2.299,1.9619,3.222
2013-07-08,3.866,3.2881,2.8712,3.8337,3.151,2.285,1.952,3.207
2013-07-09,3.866,3.287,2.8712,3.8304,3.15,2.29,1.953,3.215
2013-07-10,3.887,3.3002,2.8778,3.8445,3.165,2.305,1.9593,3.233
2013-07-11,3.901,3.3242,2.8936,3.8706,3.181,2.32,1.9662,3.254
2013-07-12,3.91,3.3126,2.8913,3.8617,3.174,2.316,1.9654,3.263
2013-07-15,3.933,3.3207,2.9033,3.8791,3.185,2.337,1.9736,3.288
2013-07-16,3.936,3.3227,2.9032,3.8864,3.19,2.334,1.9781,3.293
2013-07-17,3.928,3.3133,2.8923,3.8744,3.181,2.321,1.9721,3.28
2013-07-18,3.926,3.3047,2.8889,3.8624,3.176,2.318,1.9703,3.278
2013-07-19,3.909,3.2931,2.8813,3.8456,3.164,2.307,1.9657,3.264
2013-07-22,3.925,3.2965,2.8861,3.8524,3.17,2.324,1.9696,3.282
2013-07-23,3.945,3.3096,2.8979,3.8704,3.185,2.348,1.9767,3.303
2013-07-24,3.947,3.3067,2.9031,3.8683,3.184,2.36,1.9806,3.3
2013-07-25,3.92,3.302,2.8951,3.86,3.177,2.334,1.9692,3.281
2013-07-26,3.917,3.3011,2.8898,3.8567,3.178,2.332,1.9674,3.281
2013-07-29,3.908,3.2894,2.8828,3.8378,3.167,2.315,1.9649,3.268
2013-07-30,3.903,3.2912,2.8848,3.8376,3.164,2.304,1.9593,3.262
2013-07-31,3.908,3.2939,2.8861,3.8372,3.168,2.308,1.961,3.26
2013-08-01,3.936,3.3066,2.8977,3.8555,3.183,2.332,1.9727,3.295
2013-08-02,3.937,3.3073,2.9002,3.8637,3.187,2.336,1.9733,3.294
2013-08-05,3.952,3.314,2.9073,3.875,3.198,2.347,1.9772,3.306
2013-08-06,3.965,3.3156,2.911,3.8769,3.2,2.351,1.9798,3.316
2013-08-07,3.949,3.3126,2.9046,3.8707,3.194,2.342,1.9739,3.298
2013-08-08,3.962,3.3115,2.9044,3.869,3.197,2.339,1.9766,3.299
2013-08-09,3.964,3.3123,2.9039,3.8699,3.196,2.336,1.9766,3.295
2013-08-12,3.965,3.3268,2.9117,3.8866,3.205,2.335,1.9762,3.292
2013-08-13,3.958,3.3305,2.911,3.8896,3.206,2.335,1.9774,3.296
2013-08-14,3.954,3.3269,2.9089,3.8865,3.203,2.333,1.9757,3.298
2013-08-15,3.939,3.32,2.9012,3.8747,3.194,2.324,1.9697,3.287
2013-08-16,3.915,3.3175,2.8937,3.8623,3.185,2.309,1.9632,3.268
2013-08-19,3.932,3.3243,2.9021,3.8767,3.194,2.326,1.9698,3.291
2013-08-20,3.934,3.3217,2.8994,3.8745,3.192,2.325,1.9684,3.286
2013-08-21,3.937,3.3204,2.9052,3.8748,3.194,2.321,1.971,3.281
2013-08-22,3.947,3.32,2.9076,3.8757,3.195,2.329,1.9738,3.294
2013-08-23,3.954,3.3152,2.9061,3.8712,3.194,2.331,1.9759,3.3
2013-08-26,3.97,3.327,2.9175,3.8804,3.204,2.341,1.9814,3.312
2013-08-27,3.977,3.3281,2.9176,3.8813,3.205,2.343,1.9796,3.32
2013-08-28,3.962,3.3206,2.9083,3.8691,3.197,2.329,1.9737,3.307
2013-08-29,3.969,3.3192,2.9051,3.8678,3.195,2.324,1.9724,3.306
2013-08-30,3.952,3.3165,2.8998,3.8602,3.188,2.309,1.965,3.287
2013-09-02,3.958,3.319,2.9084,3.8637,3.192,2.318,1.9687,3.301
2013-09-03,3.973,3.3272,2.9206,3.8773,3.203,2.334,1.9737,3.317
2013-09-04,3.968,3.3252,2.9215,3.8765,3.201,2.334,1.9722,3.318
2013-09-05,3.988,3.325,2.9212,3.874,3.206,2.347,1.9752,3.339
2013-09-06,3.997,3.3292,2.9233,3.876,3.204,2.352,1.9809,3.346
2013-09-09,3.998,3.3509,2.9256,3.892,3.211,2.355,1.9821,3.346
2013-09-10,3.993,3.3608,2.9264,3.8961,3.215,2.35,1.9819,3.341
2013-09-11,3.98,3.3592,2.9192,3.9024,3.209,2.339,1.9763,3.323
2013-09-12,3.981,3.368,2.9205,3.9109,3.212,2.341,1.9764,3.322
2013-09-13,3.992,3.3621,2.9254,3.9138,3.214,2.351,1.9803,3.347
2013-09-16,4.006,3.3587,2.9234,3.9191,3.215,2.36,1.9857,3.363
2013-09-17,3.987,3.3471,2.9131,3.9073,3.204,2.356,1.9812,3.355
2013-09-18,4.003,3.348,2.9162,3.9048,3.208,2.362,1.9854,3.369
2013-09-23,4.024,3.3562,2.9271,3.923,3.217,2.389,1.9954,3.394
2013-09-24,4.033,3.3457,2.923,3.932,3.215,2.395,1.9954,3.395
2013-09-25,4.028,3.3428,2.9159,3.9302,3.215,2.383,1.9913,3.391
2013-09-26,4.013,3.3318,2.9127,3.9186,3.209,2.371,1.9887,3.376
2013-09-27,4.036,3.3348,2.9177,3.9157,3.207,2.378,1.9937,3.385
2013-09-30,4.059,3.3363,2.9217,3.926,3.21,2.395,2.0003,3.405
2013-10-08,4.061,3.3444,2.9306,3.9382,3.218,2.402,2.0031,3.415
2013-10-09,4.074,3.3494,2.9368,3.9393,3.225,2.414,2.0033,3.426
2013-10-10,4.059,3.3428,2.9333,3.9382,3.228,2.398,2.0002,3.419
2013-10-11,4.062,3.3529,2.9393,3.9595,3.236,2.4,2.0031,3.423
2013-10-14,4.065,3.3543,2.9473,3.969,3.244,2.408,2.0038,3.418
2013-10-15,4.062,3.3519,2.9449,3.9634,3.243,2.403,2.0074,3.42
2013-10-16,4.031,3.3412,2.935,3.9464,3.226,2.377,2.0009,3.39
2013-10-17,4.031,3.3409,2.9312,3.9401,3.225,2.372,2,3.376
2013-10-18,4.03,3.3441,2.9355,3.9452,3.231,2.38,2.0017,3.395
2013-10-21,4.062,3.3555,2.9513,3.9747,3.247,2.399,2.0103,3.428
2013-10-22,4.065,3.3497,2.9458,3.9526,3.243,2.383,2.004,3.395
2013-10-23,4.047,3.3455,2.9293,3.9353,3.231,2.355,1.9941,3.364
2013-10-24,4.048,3.3426,2.9253,3.9289,3.229,2.351,1.9924,3.362
